ElementID,EnterpriseNo,FieldType,DataType
49,0,samplerMode,unsigned8
50,0,samplerRandomInterval,unsigned32
51,0,classId,unsigned8
52,0,minimumTTL,unsigned8
53,0,maximumTTL,unsigned8
54,0,fragmentIdentification,unsigned32
55,0,postIpClassOfService,unsigned8
56,0,sourceMacAddress,macAddress
57,0,postDestinationMacAddress,macAddress
58,0,vlanId,unsigned16
59,0,postVlanId,unsigned16
60,0,ipVersion,unsigned8
61,0,flowDirection,unsigned8
62,0,ipNextHopIPv6Address,ipv6Address
63,0,bgpNextHopIPv6Address,ipv6Address
64,0,ipv6ExtensionHeaders,unsigned32
65-69,0,Assigned for NetFlow v9 compatibility,
70,0,mplsTopLabelStackSection,octetArray
71,0,mplsLabelStackSection2,octetArray
72,0,mplsLabelStackSection3,octetArray
73,0,mplsLabelStackSection4,octetArray
74,0,mplsLabelStackSection5,octetArray
75,0,mplsLabelStackSection6,octetArray
76,0,mplsLabelStackSection7,octetArray
77,0,mplsLabelStackSection8,octetArray
78,0,mplsLabelStackSection9,octetArray
79,0,mplsLabelStackSection10,octetArray
80,0,destinationMacAddress,macAddress
81,0,postSourceMacAddress,macAddress
82,0,interfaceName,string
83,0,interfaceDescription,string
84,0,samplerName,string
85,0,octetTotalCount,unsigned64
86,0,packetTotalCount,unsigned64
87,0,flagsAndSamplerId,unsigned32
88,0,fragmentOffset,unsigned16
89,0,forwardingStatus,unsigned8
90,0,mplsVpnRouteDistinguisher,octetArray
91,0,mplsTopLabelPrefixLength,unsigned8
92,0,srcTrafficIndex,unsigned32
93,0,dstTrafficIndex,unsigned32
94,0,applicationDescription,string
95,0,applicationId,unsigned32
96,0,applicationName,string
97,0,SubApplicationTag,unsigned32
98,0,postIpDiffServCodePoint,unsigned8
99,0,multicastReplicationFactor,unsigned32
100,0,className,string
101,0,classificationEngineId,unsigned8
102,0,layer2packetSectionOffset,unsigned16
103,0,layer2packetSectionSize,unsigned16
104,0,layer2packetSectionData,octetArray
109,0,SubApplicationName,string
110,0,SubApplicationDescription,string
128,0,bgpNextAdjacentAsNumber,unsigned32
129,0,bgpPrevAdjacentAsNumber,unsigned32
130,0,exporterIPv4Address,ipv4Address
131,0,exporterIPv6Address,ipv6Address
132,0,droppedOctetDeltaCount,unsigned64
133,0,droppedPacketDeltaCount,unsigned64
134,0,droppedOctetTotalCount,unsigned64
135,0,droppedPacketTotalCount,unsigned64
136,0,flowEndReason,unsigned8
137,0,commonPropertiesId,unsigned64
138,0,observationPointId,octetArray
139,0,icmpTypeCodeIPv6,unsigned16
140,0,mplsTopLabelIPv6Address,ipv6Address
141,0,lineCardId,unsigned32
142,0,portId,unsigned32
143,0,meteringProcessId,unsigned32
144,0,exportingProcessId,unsigned32
145,0,templateId,unsigned16
146,0,wlanChannelId,unsigned8
147,0,wlanSSID,string
148,0,flowId,unsigned64
149,0,observationDomainId,unsigned32
150,0,flowStartSeconds,dateTimeSeconds
151,0,flowEndSeconds,dateTimeSeconds
152,0,flowStartMilliseconds,dateTimeMilliseconds
153,0,flowEndMilliseconds,dateTimeMilliseconds
154,0,flowStartMicroseconds,dateTimeMicroseconds
155,0,flowEndMicroseconds,dateTimeMicroseconds
156,0,flowStartNanoseconds,dateTimeNanoseconds
157,0,flowEndNanoseconds,dateTimeNanoseconds
158,0,flowStartDeltaMicroseconds,unsigned32
159,0,flowEndDeltaMicroseconds,unsigned32
160,0,systemInitTimeMilliseconds,dateTimeMilliseconds
161,0,flowDurationMilliseconds,unsigned32
162,0,flowDurationMicroseconds,unsigned32
163,0,observedFlowTotalCount,unsigned64
164,0,ignoredPacketTotalCount,unsigned64
165,0,ignoredOctetTotalCount,unsigned64
166,0,notSentFlowTotalCount,unsigned64
167,0,notSentPacketTotalCount,unsigned64
168,0,notSentOctetTotalCount,unsigned64
169,0,destinationIPv6Prefix,ipv6Address
170,0,sourceIPv6Prefix,ipv6Address
171,0,postOctetTotalCount,unsigned64
172,0,postPacketTotalCount,unsigned64
173,0,flowKeyIndicator,unsigned64
174,0,postMCastPacketTotalCount,unsigned64
175,0,postMCastOctetTotalCount,unsigned64
176,0,icmpTypeIPv4,unsigned8
177,0,icmpCodeIPv4,unsigned8
178,0,icmpTypeIPv6,unsigned8
179,0,icmpCodeIPv6,unsigned8
180,0,udpSourcePort,unsigned16
181,0,udpDestinationPort,unsigned16
182,0,tcpSourcePort,unsigned16
183,0,tcpDestinationPort,unsigned16
184,0,tcpSequenceNumber,unsigned32
185,0,tcpAcknowledgementNumber,unsigned32
186,0,tcpWindowSize,unsigned16
187,0,tcpUrgentPointer,unsigned16
188,0,tcpHeaderLength,unsigned8
189,0,ipHeaderLength,unsigned8
190,0,totalLengthIPv4,unsigned16
191,0,payloadLengthIPv6,unsigned16
192,0,ipTTL,unsigned8
193,0,nextHeaderIPv6,unsigned8
194,0,mplsPayloadLength,unsigned32
195,0,ipDiffServCodePoint,unsigned8
196,0,ipPrecedence,unsigned8
197,0,fragmentFlags,unsigned8
198,0,octetDeltaSumOfSquares,unsigned64
199,0,octetTotalSumOfSquares,unsigned64
200,0,mplsTopLabelTTL,unsigned8
201,0,mplsLabelStackLength,unsigned32
202,0,mplsLabelStackDepth,unsigned32
203,0,mplsTopLabelExp,unsigned8
204,0,ipPayloadLength,unsigned32
205,0,udpMessageLength,unsigned16
206,0,isMulticast,unsigned8
207,0,ipv4IHL,unsigned8
208,0,ipv4Options,unsigned32
209,0,tcpOptions,unsigned64
210,0,paddingOctets,octetArray
211,0,collectorIPv4Address,ipv4Address
212,0,collectorIPv6Address,ipv6Address
213,0,exportInterface,unsigned32
214,0,exportProtocolVersion,unsigned8
215,0,exportTransportProtocol,unsigned8
216,0,collectorTransportPort,unsigned16
217,0,exporterTransportPort,unsigned16
218,0,tcpSynTotalCount,unsigned64
219,0,tcpFinTotalCount,unsigned64
220,0,tcpRstTotalCount,unsigned64
221,0,tcpPshTotalCount,unsigned64
222,0,tcpAckTotalCount,unsigned64
223,0,tcpUrgTotalCount,unsigned64
224,0,ipTotalLength,unsigned64
225,0,postNATSourceIPv4Address,ipv4Address
226,0,postNATDestinationIPv4Address,ipv4Address
227,0,postNAPTSourceTransportPort,unsigned16
228,0,postNAPTDestinationTransportPort,unsigned16
229,0,natOriginatingAddressRealm,unsigned8
230,0,natEvent,unsigned8
231,0,initiatorOctets,unsigned64
232,0,responderOctets,unsigned64
233,0,firewallEvent,unsigned8
234,0,ingressVRFID,unsigned32
235,0,egressVRFID,unsigned32
236,0,VRFname,string
237,0,postMplsTopLabelExp,unsigned8
238,0,tcpWindowScale,unsigned16
239,0,biflowDirection,unsigned8
240,0,ethernetHeaderLength,unsigned8
241,0,ethernetPayloadLength,unsigned16
242,0,ethernetTotalLength,unsigned16
243,0,dot1qVlanId,unsigned16
244,0,dot1qPriority,unsigned8
245,0,dot1qCustomerVlanId,unsigned16
246,0,dot1qCustomerPriority,unsigned8
247,0,metroEvcId,string
248,0,metroEvcType,unsigned8
249,0,pseudoWireId,unsigned32
250,0,pseudoWireType,unsigned16
251,0,pseudoWireControlWord,unsigned32
252,0,ingressPhysicalInterface,unsigned32
253,0,egressPhysicalInterface,unsigned32
254,0,postDot1qVlanId,unsigned16
255,0,postDot1qCustomerVlanId,unsigned16
256,0,ethernetType,unsigned16
257,0,postIpPrecedence,unsigned8
258,0,collectionTimeMilliseconds,dateTimeMilliseconds
259,0,exportSctpStreamId,unsigned16
260,0,maxExportSeconds,dateTimeSeconds
261,0,maxFlowEndSeconds,dateTimeSeconds
262,0,messageMD5Checksum,octetArray
263,0,messageScope,unsigned8
264,0,minExportSeconds,dateTimeSeconds
265,0,minFlowStartSeconds,dateTimeSeconds
266,0,opaqueOctets,octetArray
267,0,sessionScope,unsigned8
268,0,maxFlowEndMicroseconds,dateTimeMicroseconds
269,0,maxFlowEndMilliseconds,dateTimeMilliseconds
270,0,maxFlowEndNanoseconds,dateTimeNanoseconds
271,0,minFlowStartMicroseconds,dateTimeMicroseconds
272,0,minFlowStartMilliseconds,dateTimeMilliseconds
273,0,minFlowStartNanoseconds,dateTimeNanoseconds
274,0,collectorCertificate,octetArray
275,0,exporterCertificate,octetArray
276,0,dataRecordsReliability,boolean
277,0,observationPointType,unsigned8
278,0,newConnectionDeltaCount,unsigned32
279,0,connectionSumDurationSeconds,unsigned64
280,0,connectionTransactionId,unsigned64
281,0,postNATSourceIPv6Address,ipv6Address
282,0,postNATDestinationIPv6Address,ipv6Address
283,0,natPoolId,unsigned32
284,0,natPoolName,string
285,0,anonymizationFlags,unsigned16
286,0,anonymizationTechnique,unsigned16
287,0,informationElementIndex,unsigned16
288,0,p2pTechnology,string
289,0,tunnelTechnology,string
290,0,encryptedTechnology,string
291,0,basicList,basicList
292,0,subTemplateList,subTemplateList
293,0,subTemplateMultiList,subTemplateMultiList
294,0,bgpValidityState,unsigned8
295,0,IPSecSPI,unsigned32
296,0,greKey,unsigned32
297,0,natType,unsigned8
298,0,initiatorPackets,unsigned64
299,0,responderPackets,unsigned64
300,0,observationDomainName,string
301,0,selectionSequenceId,unsigned64
302,0,selectorId,unsigned64
303,0,informationElementId,unsigned16
304,0,selectorAlgorithm,unsigned16
305,0,samplingPacketInterval,unsigned32
306,0,samplingPacketSpace,unsigned32
307,0,samplingTimeInterval,unsigned32
308,0,samplingTimeSpace,unsigned32
309,0,samplingSize,unsigned32
310,0,samplingPopulation,unsigned32
311,0,samplingProbability,float64
312,0,dataLinkFrameSize,unsigned16
313,0,ipHeaderPacketSection,octetArray
314,0,ipPayloadPacketSection,octetArray
315,0,dataLinkFrameSection,octetArray
316,0,mplsLabelStackSection,octetArray
317,0,mplsPayloadPacketSection,octetArray
318,0,selectorIdTotalPktsObserved,unsigned64
319,0,selectorIdTotalPktsSelected,unsigned64
320,0,absoluteError,float64
321,0,relativeError,float64
322,0,observationTimeSeconds,dateTimeSeconds
323,0,observationTimeMilliseconds,dateTimeMilliseconds
324,0,observationTimeMicroseconds,dateTimeMicroseconds
325,0,observationTimeNanoseconds,dateTimeNanoseconds
326,0,digestHashValue,unsigned64
327,0,hashIPPayloadOffset,unsigned64
328,0,hashIPPayloadSize,unsigned64
329,0,hashOutputRangeMin,unsigned64
330,0,hashOutputRangeMax,unsigned64
331,0,hashSelectedRangeMin,unsigned64
332,0,hashSelectedRangeMax,unsigned64
333,0,hashDigestOutput,boolean
334,0,hashInitialiserValue,unsigned64
335,0,selectorName,string
336,0,upperCILimit,float64
337,0,lowerCILimit,float64
338,0,confidenceLevel,float64
339,0,informationElementDataType,unsigned8
340,0,informationElementDescription,string
341,0,informationElementName,string
342,0,informationElementRangeBegin,unsigned64
343,0,informationElementRangeEnd,unsigned64
344,0,informationElementSemantics,unsigned8
345,0,informationElementUnits,unsigned16
346,0,privateEnterpriseNumber,unsigned32
347,0,virtualStationInterfaceId,octetArray
348,0,virtualStationInterfaceName,string
349,0,virtualStationUUID,octetArray
350,0,virtualStationName,string
351,0,layer2SegmentId,unsigned64
352,0,layer2OctetDeltaCount,unsigned64
353,0,layer2OctetTotalCount,unsigned64
354,0,ingressUnicastPacketTotalCount,unsigned64
355,0,ingressMulticastPacketTotalCount,unsigned64
356,0,ingressBroadcastPacketTotalCount,unsigned64
357,0,egressUnicastPacketTotalCount,unsigned64
358,0,egressBroadcastPacketTotalCount,unsigned64
359,0,monitoringIntervalStartMilliSeconds,dateTimeMilliseconds
360,0,monitoringIntervalEndMilliSeconds,dateTimeMilliseconds
361,0,portRangeStart,unsigned16
362,0,portRangeEnd,unsigned16
363,0,portRangeStepSize,unsigned16
364,0,portRangeNumPorts,unsigned16
365,0,staMacAddress,macAddress
366,0,staIPv4Address,ipv4Address
367,0,wtpMacAddress,macAddress
368,0,ingressInterfaceType,unsigned32
369,0,egressInterfaceType,unsigned32
370,0,rtpSequenceNumber,unsigned16
371,0,userName,string
372,0,applicationCategoryName,string
373,0,applicationSubCategoryName,string
374,0,applicationGroupName,string
375,0,originalFlowsPresent,unsigned64
376,0,originalFlowsInitiated,unsigned64
377,0,originalFlowsCompleted,unsigned64
378,0,distinctCountOfSourceIPAddress,unsigned64
379,0,distinctCountOfDestinationIPAddress,unsigned64
380,0,distinctCountOfSourceIPv4Address,unsigned32
381,0,distinctCountOfDestinationIPv4Address,unsigned32
382,0,distinctCountOfSourceIPv6Address,unsigned64
383,0,distinctCountOfDestinationIPv6Address,unsigned64
384,0,valueDistributionMethod,unsigned8
385,0,rfc3550JitterMilliseconds,unsigned32
386,0,rfc3550JitterMicroseconds,unsigned32
387,0,rfc3550JitterNanoseconds,unsigned32
388,0,dot1qDEI,boolean
389,0,dot1qCustomerDEI,boolean
390,0,flowSelectorAlgorithm,unsigned16
391,0,flowSelectedOctetDeltaCount,unsigned64
392,0,flowSelectedPacketDeltaCount,unsigned64
393,0,flowSelectedFlowDeltaCount,unsigned64
394,0,selectorIDTotalFlowsObserved,unsigned64
395,0,selectorIDTotalFlowsSelected,unsigned64
396,0,samplingFlowInterval,unsigned64
397,0,samplingFlowSpacing,unsigned64
398,0,flowSamplingTimeInterval,unsigned64
399,0,flowSamplingTimeSpacing,unsigned64
400,0,hashFlowDomain,unsigned16
401,0,transportOctetDeltaCount,unsigned64
402,0,transportPacketDeltaCount,unsigned64
403,0,originalExporterIPv4Address,ipv4Address
404,0,originalExporterIPv6Address,ipv6Address
405,0,originalObservationDomainId,unsigned32
406,0,intermediateProcessId,unsigned32
407,0,ignoredDataRecordTotalCount,unsigned64
408,0,dataLinkFrameType,unsigned16
409,0,sectionOffset,unsigned16
410,0,sectionExportedOctets,unsigned16
411,0,dot1qServiceInstanceTag,octetArray
412,0,dot1qServiceInstanceId,unsigned32
413,0,dot1qServiceInstancePriority,unsigned8
414,0,dot1qCustomerSourceMacAddress,macAddress
415,0,dot1qCustomerDestinationMacAddress,macAddress
417,0,postLayer2OctetDeltaCount,unsigned64
418,0,postMCastLayer2OctetDeltaCount,unsigned64
420,0,postLayer2OctetTotalCount,unsigned64
421,0,postMCastLayer2OctetTotalCount,unsigned64
422,0,minimumLayer2TotalLength,unsigned64
423,0,maximumLayer2TotalLength,unsigned64
424,0,droppedLayer2OctetDeltaCount,unsigned64
425,0,droppedLayer2OctetTotalCount,unsigned64
426,0,ignoredLayer2OctetTotalCount,unsigned64
427,0,notSentLayer2OctetTotalCount,unsigned64
428,0,layer2OctetDeltaSumOfSquares,unsigned64
429,0,layer2OctetTotalSumOfSquares,unsigned64
430,0,layer2FrameDeltaCount,unsigned64
431,0,layer2FrameTotalCount,unsigned64
432,0,pseudoWireDestinationIPv4Address,ipv4Address
433,0,ignoredLayer2FrameTotalCount,unsigned64
434,0,mibObjectValueInteger,signed32
435,0,mibObjectValueOctetString,octetArray
436,0,mibObjectValueOID,octetArray
437,0,mibObjectValueBits,octetArray
438,0,mibObjectValueIPAddress,ipv4Address
439,0,mibObjectValueCounter,unsigned64
440,0,mibObjectValueGauge,unsigned32
441,0,mibObjectValueTimeTicks,unsigned32
442,0,mibObjectValueUnsigned,unsigned32
443,0,mibObjectValueTable,subTemplateList
444,0,mibObjectValueRow,subTemplateList
445,0,mibObjectIdentifier,octetArray
446,0,mibSubIdentifier,unsigned32
447,0,mibIndexIndicator,unsigned64
448,0,mibCaptureTimeSemantics,unsigned8
449,0,mibContextEngineID,octetArray
450,0,mibContextName,string
451,0,mibObjectName,string
452,0,mibObjectDescription,string
453,0,mibObjectSyntax,string
454,0,mibModuleName,string
455,0,mobileIMSI,string
456,0,mobileMSISDN,string
457,0,httpStatusCode,unsigned16
458,0,sourceTransportPortsLimit,unsigned16
459,0,httpRequestMethod,string
460,0,httpRequestHost,string
461,0,httpRequestTarget,string
462,0,httpMessageVersion,string
463,0,natInstanceID,unsigned32
464,0,internalAddressRealm,octetArray
465,0,externalAddressRealm,octetArray
466,0,natQuotaExceededEvent,unsigned32
467,0,natThresholdEvent,unsigned32
468,0,httpUserAgent,string
469,0,httpContentType,string
470,0,httpReasonPhrase,string
471,0,maxSessionEntries,unsigned32
472,0,maxBIBEntries,unsigned32
473,0,maxEntriesPerUser,unsigned32
474,0,maxSubscribers,unsigned32
475,0,maxFragmentsPendingReassembly,unsigned32
476,0,addressPoolHighThreshold,unsigned32
477,0,addressPoolLowThreshold,unsigned32
478,0,addressPortMappingHighThreshold,unsigned32
479,0,addressPortMappingLowThreshold,unsigned32
480,0,addressPortMappingPerUserHighThreshold,unsigned32
481,0,globalAddressMappingHighThreshold,unsigned32
482,0,vpnIdentifier,octetArray

